Rank,ADP,Pos,Name,Team,Bye,Comp,Yards,TD,Int,Att,Yards,TD,Fum,Rec,Yards,TD,Fantasy Points,Average Auction
1,9,QB,"Luck, Andrew",IND,10,421,5026,37,17,64,322,3,4,0,0,0,468,$41
2,15,QB,"Rodgers, Aaron",GBP,7,380,4675,37,8,46,249,2,3,0,0,0,463,$36
3,71,QB,"Manning, Peyton",DEN,7,402,4652,40,12,21,0,0,5,0,0,0,440,$18
4,70,QB,"Roethlisberger, Ben",PIT,11,398,4748,30,13,33,71,1,5,0,0,0,393,$16
5,61,QB,"Ryan, Matt",ATL,10,455,4907,28,14,23,100,0,3,0,0,0,392,$17
6,67,QB,"Brees, Drew",NOS,11,380,4326,31,13,26,55,2,2,0,0,0,387,$18
7,38,QB,"Wilson, Russell",SEA,9,276,3678,26,10,96,575,5,1,0,0,0,376,$23
8,117,QB,"Rivers, Philip",SDC,10,383,4357,32,15,33,80,0,2,0,0,0,361,$8
9,97,QB,"Romo, Tony",DAL,6,315,3802,35,9,24,54,0,2,0,0,0,354,$12
10,77,QB,"Stafford, Matthew",DET,9,373,4445,26,15,37,95,2,6,0,0,0,345,$15
11,118,QB,"Manning, Eli",NYG,11,380,4577,28,17,15,32,0,4,0,0,0,343,$9
12,56,QB,"Newton, Cam",CAR,5,307,3600,23,14,110,568,6,4,0,0,0,342,$17
13,80,QB,"Tannehill, Ryan",MIA,5,387,4115,28,14,48,276,1,4,0,0,0,339,$13
14,134,QB,"Kaepernick, Colin",SFO,10,266,3244,22,8,110,660,2,4,0,0,0,319,$8
15,144,QB,"Flacco, Joe",BAL,9,363,4100,27,17,40,99,2,1,0,0,0,318,$7
16,10,TE,"Gronkowski, Rob",NEP,4,0,0,0,0,0,0,0,0,97,1326,14,313,$34
17,100,QB,"Brady, Tom",NEP,4,315,3460,26,9,26,37,1,2,0,0,0,308,$13
18,146,QB,"Bradford, Sam",PHI,8,354,4251,26,18,49,153,2,5,0,0,0,307,$7
19,167,QB,"Cutler, Jay",CHI,7,310,3725,25,14,35,194,2,5,0,0,0,296,$6
20,195,QB,"Smith, Alex",KCC,9,313,3426,22,7,63,343,1,2,0,0,0,296,$4
21,178,QB,"Foles, Nick",STL,6,321,3724,24,15,31,88,2,4,0,0,0,277,$5
22,137,QB,"Carr, Derek",OAK,6,369,3624,24,14,46,186,0,6,0,0,0,270,$7
23,178,QB,"Palmer, Carson",ARI,9,333,3950,25,20,25,41,0,2,0,0,0,266,$5
24,172,QB,"Dalton, Andy",CIN,7,298,3324,22,16,56,185,4,4,0,0,0,262,$5
25,131,QB,"Mariota, Marcus",TEN,4,268,3240,19,12,49,258,3,2,0,0,0,258,$9
26,103,QB,"Bridgewater, Teddy",MIN,5,311,3464,18,15,54,235,2,1,0,0,0,252,$11
27,182,QB,"Griffin III, Robert",WAS,8,314,3721,15,15,85,436,2,7,0,0,0,252,$4
28,219,QB,"Smith, Geno",NYJ,5,258,3129,18,14,66,290,3,3,0,0,0,244,$2
29,119,QB,"Winston, Jameis",TBB,6,291,3296,22,16,33,120,2,6,0,0,0,239,$9
30,281,QB,"Hoyer, Brian",HOU,9,282,3542,16,13,44,120,1,2,0,0,0,230,$2
31,268,QB,"Cassel, Matt",BUF,8,314,3237,18,13,28,44,2,2,0,0,0,222,$1
32,,TE,"Watson, Ben",NOS,11,0,0,0,0,0,0,0,1,68,689,14,218,$1
33,7,WR,"Bryant, Dez",DAL,6,0,0,0,0,1,1,0,1,96,1375,17,216,$36
34,11,WR,"Thomas, Demaryius",DEN,7,0,0,0,0,0,0,0,1,115,1685,15,214,$32
35,143,TE,"Walker, Delanie",TEN,4,0,0,0,0,0,0,0,0,77,925,7,211,$4
36,6,WR,"Beckham, Odell",NYG,11,0,0,0,0,7,35,0,1,104,1475,14,209,$36
37,164,QB,"Bortles, Blake",JAC,8,311,3271,14,18,64,384,0,1,0,0,0,208,$5
38,8,WR,"Jones, Julio",ATL,10,0,0,0,0,1,4,0,1,107,1565,14,206,$35
39,65,TE,"Olsen, Greg",CAR,5,0,0,0,0,0,0,0,0,77,900,5,197,$11
40,28,TE,"Graham, Jimmy",SEA,9,0,0,0,0,0,0,0,2,68,819,8,193,$23
41,16,WR,"Johnson, Calvin",DET,9,0,0,0,0,0,0,0,0,91,1463,13,190,$32
42,75,TE,"Thomas, Julius",JAC,8,0,0,0,0,0,0,0,0,67,750,8,190,$9
43,83,TE,"Bennett, Martellus",CHI,7,0,0,0,0,0,0,0,1,78,825,5,188,$9
44,190,TE,"Clay, Charles",BUF,8,0,0,0,0,0,0,0,0,75,825,5,187,$3
45,5,WR,"Brown, Antonio",PIT,11,0,0,0,0,4,6,0,1,112,1466,10,184,$38
46,143,TE,"Allen, Dwayne",IND,10,0,0,0,0,0,0,0,0,53,595,11,178,$4
47,85,TE,"Ertz, Zach",PHI,8,0,0,0,0,0,0,0,1,61,725,7,173,$8
48,20,WR,"Cobb, Randall",GBP,7,0,0,0,0,13,38,0,2,95,1303,11,170,$28
49,258,QB,"McCown, Josh",CLE,11,226,2831,12,16,32,110,3,5,0,0,0,168,$2
50,15,WR,"Green, A.J.",CIN,7,0,0,0,0,2,8,0,2,95,1375,9,167,$30
51,48,TE,"Kelce, Travis",KCC,9,0,0,0,0,0,0,0,3,63,780,5,165,$15
